id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3,totalThrowTime,calibImgTime,findObjTime,pathCalcTime,grabTime,throwTime,apiLogTime
79,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.104863,0.138636,0,0,0,0,0,0,0,0,0,0,0,0,23035.1,-1,8880.89,0.334034,7302.41,10757.4,12.1056
80,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.0957447,0.668182,0,0,0,0,0,0,0,0,0,0,0,0,23639.7,-1,5844.48,0.383985,7277.34,7763.95,9.18103
81,1,"Consistency test: Ping Pong Ball",,-1,0.454914,0.552601,0.0957447,0.665909,0,0,0,0,0,0,0,0,0,0,0,0,30326.5,-1,22068.4,0.262543,7282.42,23954.8,9.07219
82,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.0957447,0.665909,2.13324,-2.03615,2.31509,-1.86484,-0.552035,-1.37759,0.302536,-0.142643,0.319474,-1.78903,1.21748,-0.495546,16626,-1,9864.22,0.468584,7319.76,11780.6,9.65421
83,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.0729483,0.684091,2.13239,-2.03591,2.31491,-1.86488,-1.55209,-1.37831,0.244495,-0.180022,0.280311,-2.58136,1.77169,-0.0343283,16340,-1,8352.03,0.355204,7300.08,10278.5,9.18073
84,0,"Consistency test: Ping Pong Ball","Moving above object",-1,0.0978789,0.162105,0.549392,0.45,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,14608.5,-1,2200.25,-1,12.4656
85,1,"Consistency test: Ping Pong Ball",,-1,0.452623,0.552594,0.157295,0.0863636,2.13245,-2.03592,2.31489,-1.86494,-1.55209,-1.37841,0.244508,-0.180011,0.280325,-2.58152,1.77151,-0.0344498,16155,-1,23745.1,0.349855,7294.36,25681.9,9.09184
86,1,Golfball,,-1,0.404258,0.449013,0.100304,0.0863636,2.13237,-2.03592,2.31485,-1.86486,-1.55216,-1.37835,0.244489,-0.180037,0.28034,-2.58144,1.77172,-0.0343544,21839.3,-1,54222.1,0.501057,7054.57,56122.9,10.8028
87,0,Golfball,Throw,2,0.401747,0.352597,0.0980243,0.193182,0,0,0,0,0,0,0,0,0,0,0,0,50315.1,-1,14023.9,0.254668,7454.58,18060.1,33.0479
88,0,Golfball,Throw,2,0.404035,0.352602,0.093465,0.295455,0,0,0,0,0,0,0,0,0,0,0,0,25508.8,-1,11770.5,0.36631,7423.2,21013.8,9.44545
89,1,Golfball,,-1,0.408612,0.352612,0.093465,0.402273,0,0,0,0,0,0,0,0,0,0,0,0,20535.8,-1,10023,0.437688,7425.85,11899.7,33.1888
90,1,Golfball,,-1,0.408836,0.449024,0.0911854,0.502273,0,0,0,0,0,0,0,0,0,0,0,0,31511.6,-1,7009.9,0.254386,7079.33,8908.83,32.4259
91,1,Golfball,,-1,0.306121,0.554525,0.0980243,0.611364,1.51548,-1.76881,1.60862,-2.95978,-1.56754,-1.57791,0.0883438,-0.393773,0.662101,1.18801,-1.24427,1.15389,15950.5,-1,16786.5,0.374463,6604.79,18675.9,32.9481
92,0,Golfball,Throw,7,0.404539,0.559365,0.198328,0.713636,2.13237,-2.0359,2.31486,-1.86488,-1.55216,-1.37836,0.244492,-0.18004,0.28033,-2.58144,1.7717,-0.0343373,17140.2,-1,11016,0.369414,7088.76,16085.7,9.99798
93,0,Golfball,Throw,7,0.406829,0.559371,0.200608,0.613636,0,0,0,0,0,0,0,0,0,0,0,0,19081.5,-1,7609.99,0.262828,7089.13,11701.6,19.7648
94,0,Golfball,Throw,9,0.413706,0.56169,0.193769,0.509091,0,0,0,0,0,0,0,0,0,0,0,0,19022.5,-1,7909.15,0.244706,7114.99,14498.7,10.2529
95,1,Golfball,,-1,0.505341,0.552749,0.202888,0.404545,0,0,0,0,0,0,0,0,0,0,0,0,45730.8,-1,45527.2,0.428864,7527.67,47396.2,10.9234
